title,written_time,author,author_num,price,length,img,attend_num,deliver,talk,spam
애플코리아 정품)애플 에어팟 프로 미개봉 새상품 팝니다 양재역 직거래,2021.04.28.,rotino,175,235000,0,0,569,0,1,0
에어팟 프로 / 21년 2월 제조,2021.04.27.,ONE인A밀리언,68,235000,255,3,"3,119",1,1,0
에어팟프로 (미개봉)팝니다,2021.04.27.,꽉꾸여우,13,220000,24,3,166,0,1,0
[미개봉] 에어팟 프로 미개봉 새상품 팝니다,2021.04.27.,rrir123,71,220000,28,1,"2,174",0,1,0
에어팟프로 미개봉팝니다,2021.04.27.,Bluemoon7811,71,195000,0,1,"2,023",0,1,1
에어팟 프로 미개봉 20만원,2021.04.27.,스피어,46,200000,137,1,708,1,1,0
에어팟프로 미개봉팝니다,2021.04.27.,주안입니다만,234,220000,136,1,"1,114",1,1,0
[미개봉] 에어팟 프로 미개봉 새상품 팝니다,2021.04.26.,rrir123,71,220000,28,1,"2,174",0,1,0
갤럭시 버즈 프로 블랙 색상팜니다(미개봉),2021.04.26.,만업이,54,165000,61,2,"4,274",1,1,0
(부산) 에어팟프로 미개봉 새제품입니다,2021.04.26.,칩포테토우,87,225000,75,1,488,1,1,0
애플 에어팟프로 미개봉 새상품 21만에 판매합니다. 네이버페이가능(무료택배),2021.04.26.,마루,4,210000,0,4,560,0,1,0
에어팟프로 미개봉팝니다,2021.04.26.,주안입니다만,234,220000,136,1,"1,114",1,1,0
[판매완료] Apple 정품 에어팟 프로 판매 / 애플 AirPods Pro,2021.04.26.,무지개,147,220000,281,1,"2,234",1,1,0
에어팟 프로 미개봉 새제품 2021/03,2021.04.26.,21은패스,37,230000,44,3,"2,348",1,1,0
에어팟 프로 미개봉 (정품),2021.04.25.,TrueRose,3,230000,126,5,"1,412",1,0,1
에어팟 프로 미개봉 새제품 2012년 2월 (서울 개인),2021.04.25.,-1,-1,2000,-1,-1,-1,-1,-1,0
애플 에어팟프로 미개봉 판매합니다,2021.04.25.,동동주32퍼,54,225000,65,1,"2,252",1,1,0
에어팟프로 미개봉 2021.03 팝니다.,2021.04.25.,건빵속별사탕,347,220000,61,1,"2,249",1,1,0
에어팟프로 미개봉 2021.03 팝니다.,2021.04.25.,건빵속별사탕,347,220000,61,1,"2,249",1,1,0
에어팟프로 미개봉팝니다,2021.04.25.,주안입니다만,234,220000,136,1,"1,114",1,1,0
에어팟 프로 미개봉 판매,2021.04.24.,너는나라삼,-1,195000,97,1,-1,1,1,1
[쿠팡정품 새상품] 에어팟 프로 미개봉 17만원에 급처분합니다.,2021.04.24.,프사원,3,170000,30,1,56,0,1,1
에어팟프로 미개봉팝니다,2021.04.24.,주안입니다만,234,220000,136,1,"1,114",1,1,0
에어팟 프로 / 21년 3월 제조,2021.04.24.,ONE인A밀리언,68,235000,255,3,"3,119",1,1,0
에어팟프로 미개봉 새상품,2021.04.24.,우아오앙아,41,230000,55,2,"1,490",1,1,0
