author_num,price,length,img,attend_num,deliver,talk,spam
153,210000,360,1,3214,1,0,0
67,230000,122,2,1347,0,1,0
8,220000,241,5,1232,1,1,0
1,165000,82,1,1,0,1,1
37,230000,142,3,410,0,1,0
2721,225000,433,1,1568,1,1,0
124,210000,155,1,1028,1,1,0
6,240000,210,1,17,0,1,0
1,220000,150,3,448,0,1,0
95,240000,146,1,433,0,1,0
141,230000,56,1,14162,1,1,0
95,240000,137,1,433,1,1,0
521,220000,180,2,2952,1,1,0
57,220000,172,1,429,0,1,0
27,215000,157,1,6020,1,1,0
51,230000,0,1,1685,0,1,0
3,210000,218,1,307,1,1,0
37,230000,191,2,2420,1,1,0
3,260000,119,1,91,0,1,1
11,210000,211,3,259,1,1,0
75,220000,116,1,918,1,1,0
357,230000,151,1,10543,0,1,0
153,220000,84,1,278,0,1,0
459,230000,197,1,4556,1,1,0
28,230000,137,2,696,1,1,0
3,220000,218,1,307,1,1,0
21,220000,155,1,1040,0,1,0
21,220000,146,1,1040,0,1,0
11,210000,187,4,259,1,1,0
10,240000,219,1,160,1,1,0
202,230000,141,1,2627,1,1,0
114,220000,135,1,1660,1,1,0
44,230000,155,1,682,0,1,0
12,190000,119,2,184,0,1,0
4,210000,179,1,77,1,1,1
43,230000,0,0,1133,0,1,1
250,220000,454,2,247,1,0,0
21,200000,273,2,427,1,0,0
250,225000,454,2,247,1,0,0
60,230000,149,1,478,1,1,0
2,200000,129,3,16,0,1,1
1,220000,223,1,13,1,1,0
95,240000,183,1,668,1,1,0
123,230000,139,1,4265,1,1,0
250,230000,454,2,247,1,0,0
2721,230000,363,1,1568,1,1,0
2721,225000,400,1,1568,1,1,0
42,225000,118,1,4627,0,1,0
2,250000,151,6,185,0,1,0
247,230000,166,2,1746,1,1,0
63,230000,236,3,2232,1,1,0
77,240000,153,2,1163,1,1,0
3,230000,206,3,783,1,1,0
33,230000,119,2,2045,0,1,0
34,230000,135,3,3561,1,1,0
384,230000,221,3,5329,1,1,0
4,200000,128,2,101,0,1,1
6,225000,131,3,46,1,1,0
13,230000,141,1,206,1,1,0
2721,235000,365,1,1568,1,1,0
2721,230000,365,1,1568,1,1,0
6,240000,155,3,3167,1,1,0
244,225000,121,3,4265,0,1,0
6,230000,174,1,326,1,1,0
4,230000,122,3,1256,0,1,0
23,240000,151,3,327,1,1,0
88,235000,170,1,489,1,1,0
65,230000,30,1,4700,1,1,0
386,230000,142,2,455,1,1,0
10,235000,107,1,1500,0,1,0
566,230000,181,3,1518,1,1,0
55,225000,220,2,1882,1,0,0
18,210000,133,1,428,0,1,0
24,240000,272,1,1456,0,1,0
27,240000,200,2,590,1,1,0
9,220000,148,2,385,0,1,0
95,223000,174,3,1611,1,1,0
9,225000,148,2,385,0,1,0
4,265000,130,2,346,0,1,0
12,220000,231,1,293,0,1,1
250,230000,454,2,247,1,0,1
404,230000,140,1,4111,1,1,0
24,255000,146,1,1039,1,1,0
125,225000,311,3,8863,1,0,0
142,230000,152,2,4771,1,1,0
9,240000,141,1,1082,0,1,0
24,225000,258,1,2447,1,0,0
500,230000,119,1,7283,0,1,0
11,230000,153,1,233,1,1,0
30,225000,174,4,465,1,1,0
21,190000,315,3,294,1,1,0
37,240000,146,1,3218,1,1,0
11,220000,153,1,768,1,1,0
500,230000,139,1,7283,0,1,0
25,240000,188,3,732,1,1,0
55,210000,79,3,2119,1,1,0
8,230000,156,2,704,0,1,0
9,230000,140,2,772,1,1,0
13,210000,162,4,2584,0,1,0
2721,240000,365,1,1568,1,1,0
2721,235000,365,1,1568,1,1,0
39,235000,224,2,1288,1,1,0
1,220000,29,1,275,0,1,1
16,230000,165,2,54,1,1,0
19,217000,245,2,3826,1,1,0
1,230000,133,1,363,0,1,1
87,220000,0,0,5323,0,1,0
6,235000,0,0,110,0,1,0
19,220000,299,2,3826,1,0,0
13,200000,398,4,377,1,1,0
81,250000,1071,1,1694,1,1,0
2721,235000,365,1,1568,1,1,0
3,240000,181,2,175,0,1,0
384,225000,182,3,5330,1,1,0
566,270000,261,1,1518,1,0,0
8,240000,192,1,70,1,0,0
40,220000,217,2,1787,1,0,0
185,250000,89,5,1913,0,1,0
5,180000,365,1,47,1,0,1
12,240000,228,1,87,0,0,0
1005,230000,230,1,17666,0,0,0
1,240000,197,3,192,0,0,0
9,240000,256,1,62,1,0,0
22,225000,206,2,1908,1,0,0
384,225000,182,3,5330,1,1,0
8,210000,359,3,67,0,0,0
74,220000,153,1,1961,1,1,0
384,225000,181,3,5330,1,1,0
